callsign|channel|city|state|licensee|lat|lon
WCJB-TV|16|GAINESVILLE|FL|GRAY TELEVISION LICENSEE, LLC|29.536667|-82.399722
WCLF|21|CLEARWATER|FL|CHRISTIAN TELEVISION CORPORATION, INC.|27.842500|-82.262222
WCLJ-TV|28|BLOOMINGTON|IN|INYO BROADCAST LICENSES LLC|39.403833|-86.147944
WCMH-TV|14|COLUMBUS|OH|NEXSTAR MEDIA INC.|39.971111|-83.027778
WCML|24|ALPENA|MI|CENTRAL MICHIGAN UNIVERSITY|45.138139|-84.162111
WCMU-TV|26|MOUNT PLEASANT|MI|CENTRAL MICHIGAN UNIVERSITY|43.751417|-85.212833
WCMV|34|CADILLAC|MI|CENTRAL MICHIGAN UNIVERSITY|44.748056|-85.068889
WCMW|20|MANISTEE|MI|CENTRAL MICHIGAN UNIVERSITY|44.065833|-86.332861
WCNC-TV|24|CHARLOTTE|NC|WCNC-TV, INC.|35.347056|-81.170611
WCNY-TV|20|SYRACUSE|NY|THE PUBLIC BROADCASTING COUNCIL OF CENTRAL NEW YORK, INC.|42.944944|-76.118389
WCOV-TV|22|MONTGOMERY|AL|MONTGOMERY TV LICENSE COMPANY, LLC|31.974722|-86.162222
WCPB|16|SALISBURY|MD|MARYLAND PUBLIC BROADCASTING COMMISSION|38.385833|-75.591944
WCPO-TV|26|CINCINNATI|OH|SCRIPPS BROADCASTING HOLDINGS LLC|39.125111|-84.498889
WCPX-TV|34|CHICAGO|IL|ION TELEVISION LICENSE, LLC|41.878889|-87.635556
WCSC-TV|19|CHARLESTON|SC|GRAY TELEVISION LICENSEE, LLC|32.924722|-79.699167
